name,vertices,edges,chromatic_number,image_path,leap_1_structure,leap_1_order,leap_2_structure,leap_2_order
singleton graph,1,0,1,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_0.png,1,1,1,1
2‐empty graph,2,0,1,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_1.png,1,1,1,1
2‐path graph,2,1,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_2.png,C2,2,1,1
3‐empty graph,3,0,1,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_3.png,1,1,1,1
2‐path and singleton,3,1,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_4.png,1,1,1,1
3‐path graph,3,2,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_5.png,1,1,1,1
triangle graph,3,3,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_6.png,C3,3,C3,3
4‐empty graph,4,0,1,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_7.png,1,1,1,1
2‐path and two singletons,4,1,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_8.png,1,1,1,1
3‐path and singleton,4,2,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_9.png,1,1,1,1
claw graph,4,3,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_10.png,1,1,1,1
2‐ladder rung graph,4,2,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_11.png,C2,2,1,1
4‐path graph,4,3,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_12.png,C2,2,1,1
triangle and singleton,4,3,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_13.png,1,1,1,1
paw graph,4,4,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_14.png,C2,2,1,1
square graph,4,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_15.png,D4,8,C2 x C2,4
diamond graph,4,5,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_16.png,D4,8,C2 x C2,4
tetrahedral graph,4,6,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_17.png,S4,24,S4,24
5‐empty graph,5,0,1,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_18.png,1,1,1,1
2‐path and three singletons,5,1,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_19.png,1,1,1,1
3‐path and two singletons,5,2,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_20.png,1,1,1,1
claw and singleton,5,3,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_21.png,1,1,1,1
5‐star graph,5,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_22.png,1,1,1,1
two 2‐paths and singleton,5,2,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_23.png,1,1,1,1
4‐path and singleton,5,3,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_24.png,1,1,1,1
3‐path and 2‐path,5,3,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_25.png,1,1,1,1
triangle and two singletons,5,3,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_26.png,1,1,1,1
fork graph,5,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_27.png,1,1,1,1
dart complement graph,5,4,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_28.png,1,1,1,1
cricket graph,5,5,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_29.png,1,1,1,1
square and singleton,5,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_30.png,1,1,1,1
